,Time,GYRx
221.771,1.828,-0.044
221.775,1.832,-0.044
221.78,1.837,-0.421
221.785,1.842,-0.421
221.789,1.846,-0.272
221.794,1.851,-0.272
221.798,1.855,-0.482
221.803,1.860,-0.482
221.808,1.865,-0.482
221.812,1.869,-0.193
221.817,1.874,-0.193
221.822,1.879,-0.219
221.826,1.883,-0.219
221.831,1.888,-0.158
221.836,1.893,-0.158
221.84,1.897,-0.158
221.845,1.902,-0.009
221.849,1.906,-0.009
221.854,1.911,-0.622
221.859,1.916,-0.622
221.863,1.920,-0.622
221.868,1.925,-0.167
221.873,1.930,-0.167
221.877,1.934,-0.219
221.882,1.939,-0.219
221.886,1.943,14.839
221.891,1.948,14.839
221.896,1.953,14.839
